Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1957 Oct 4 1928:34,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,1-y ISZ,1957 ALP 2,
1957 Oct 17 0505,HADC,Holloman Air Force Base,32.8525,-106.106389,Aerobee,S,USAF 88 Charge A,1957-U01,
1957 Nov 3 0230:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,2-y ISZ,1957 BET 1,
1957 Dec 6 1644:35,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1957-F01,
1958 Feb 1 0347:56,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,S,Explorer 1,1958 ALP,
1958 Feb 5 0733,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F01,
1958 Mar 5 1827:57,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,F,Explorer 2,1958-F02,
1958 Mar 17 1215:41,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,S,Vanguard I,1958 BET 2,
1958 Mar 26 1738:03,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,S,Explorer 3,1958 GAM,
1958 Apr 27 0901,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,F,[ISZ],1958-F03,
1958 Apr 29 0253:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F04,
1958 May 15 0700:35,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,S,3-y Sovetskiy ISZ,1958 DEL 2,
1958 May 28 0346:20,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F05,
1958 Jun 26 0500:52,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F06,
1958 Jul 25,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 1,1958-F07,
1958 Jul 26 1500:57,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,S,Explorer 4,1958 EPS,
1958 Aug 12,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 2,1958-F08,
1958 Aug 17 1218,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able I,F,Able I (Pioneer),1958-F09,Moon
1958 Aug 22,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 3,1958-F10,
1958 Aug 24 0617:22,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,F,Explorer 5,1958-F11,
1958 Aug 25,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 4,1958-F12,
